Encrypt Time (ms),Inbuf Time (ms),Ratio
0.065,0.221,3.4
0.016,0.062,3.875
0.016,0.075,4.6875
0.015,0.017,1.1333333333333335
0.018,0.076,4.222222222222222
0.014,0.054,3.857142857142857
0.007,0.034,4.857142857142858
0.01,0.052,5.199999999999999
0.014,0.049,3.5
0.014,0.074,5.285714285714286
0.006,0.027,4.5
0.004,0.014,3.5
0.013,0.096,7.384615384615385
0.004,0.02,5.0
0.024,0.049,2.0416666666666665
0.011,0.081,7.363636363636364
0.023,0.062,2.6956521739130435
0.015,0.08,5.333333333333334
0.006,0.03,5.0
0.004,0.02,5.0
0.02,0.076,3.8
0.006,0.031,5.166666666666667
0.014,0.05,3.5714285714285716
0.016,0.092,5.75
0.017,0.101,5.9411764705882355
0.018,0.077,4.277777777777778
0.066,0.196,2.9696969696969697
0.031,0.118,3.8064516129032255
0.013,0.05,3.8461538461538467
0.021,0.128,6.095238095238095
0.011,0.068,6.1818181818181825
0.012,0.05,4.166666666666667
0.009,0.046,5.111111111111112
0.018,0.062,3.4444444444444446
0.012,0.053,4.416666666666666
0.023,0.057,2.4782608695652177
0.008,0.042,5.25
0.003,0.019,6.333333333333333
0.003,0.016,5.333333333333333
0.005,0.03,6.0
0.027,0.145,5.37037037037037
0.036,0.097,2.6944444444444446
0.007,0.039,5.571428571428571
0.02,0.083,4.15
0.025,0.124,4.96
0.015,0.074,4.933333333333334
0.024,0.12,5.0
0.014,0.099,7.071428571428571
0.009,0.042,4.666666666666667
0.019,0.076,4.0
0.008,0.037,4.625
0.027,0.076,2.814814814814815
0.006,0.036,5.999999999999999
0.051,0.073,1.4313725490196079
0.005,0.025,5.0
0.022,0.09,4.090909090909091
0.014,0.05,3.5714285714285716
0.016,0.071,4.437499999999999
0.055,0.081,1.4727272727272727
0.031,0.226,7.290322580645162
0.007,0.036,5.142857142857142
0.056,0.096,1.7142857142857142
0.011,0.056,5.090909090909092
0.013,0.067,5.153846153846154
0.071,0.205,2.887323943661972
0.029,0.116,4.0
0.02,0.087,4.35
0.008,0.043,5.374999999999999
0.005,0.025,5.0
0.017,0.058,3.411764705882353
